model_name,lab,card_date,card_url,asl_level,openai_preparedness_cyber_risk_pre_mitigation,openai_preparedness_cyber_risk_post_mitigation,google_ccl_cyber_autonomy_reached,google_ccl_cyber_uplift_reached,google_ccl_alert_triggered,anthropic_ctf_suite_version,ctf_web_solved,ctf_web_total,ctf_crypto_solved,ctf_crypto_total,ctf_pwn_solved,ctf_pwn_total,ctf_rev_solved,ctf_rev_total,ctf_network_solved,ctf_network_total,ctf_cyberharness_solved,ctf_cyberharness_total,ctf_pass_metric,ctf_easy_solved,ctf_easy_total,ctf_easy_pct,ctf_medium_solved,ctf_medium_total,ctf_medium_pct,cybench_score,cybench_pass_metric,cybench_challenges_tested,cybench_challenges_total,cybergym_score_pct,cybergym_pass_metric,cybergym_task_count,openai_hs_ctf_pct,openai_collegiate_ctf_pct,openai_professional_ctf_pct,openai_ctf_pass_metric,openai_cyber_range_pass_rate_pct,google_ctf_easy_solved,google_ctf_easy_total,google_ctf_medium_solved,google_ctf_medium_total,google_ctf_hard_solved,google_ctf_hard_total,google_autonomous_offense_easy_solved,google_autonomous_offense_easy_total,google_autonomous_offense_medium_solved,google_autonomous_offense_medium_total,google_autonomous_offense_hard_solved,google_autonomous_offense_hard_total,meta_cyberseceval_result_summary,external_aisi_uk_result,external_aisi_us_result,firefox_exploit_full_pct,firefox_exploit_partial_pct,comparison_models_in_card,methodology_notes,source_notes
Claude Opus 4.7,Anthropic,2026-04,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,ASL-3,,,,,,Fixed CTF suite v2 + Cybench (35-task subset) + CyberGym,,,,,,,,,,,,,pass@30,,,,,,,96,pass@30,35,40,73,pass@1,,,,,,,,,,,,,,,,,,,,UK AISI tested — consistent with Anthropic findings,,1.2,45.2,Claude Mythos Preview; Claude Opus 4.6; Claude Sonnet 4.5,Cybench evaluated on 35-challenge subset (methodology shift vs 40 in earlier cards). Firefox 147 exploit eval introduced: 1.2% full / 45.2% partial. Cyber capability rated roughly similar to Opus 4.6.,Claude Opus 4.7 System Card Apr 2026 + Zvi substack analysis
Claude Opus 4.8,Anthropic,2026-05,https://www-cdn.anthropic.com/0f0c97ad20d8005706296bd92aa1c27c6b2f4f61/Claude%20Opus%204.8%20System%20Card.pdf,ASL-3,,,,,,Fixed CTF suite v2 + Cybench + CyberGym (no new Risk Report — covered by Mythos),,,,,,,,,,,,,,,,,,,,,,,,78.8,pass@1 (no safeguards),1507,,,,,,,,,,,,,,,,,,,,,,,Claude Opus 4.7; Claude Mythos Preview,"Cyber section §3: slightly stronger than Opus 4.7, much weaker than Mythos Preview. Cybench REMOVED (largely saturated). CyberGym pass@1 no-safeguards = 78.8% (vs Opus 4.7 73.1%, Mythos Preview 83.1%); with Tier-3 safeguards 1.0%. New evals ExploitBench & OSS-Fuzz added.","Claude Opus 4.8 System Card, May 28 2026 (p49-53)"
GPT-4,OpenAI,2023-03,https://cdn.openai.com/papers/gpt-4-system-card.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Preparedness Framework at time of release. Cybersecurity section qualitative red-team findings only — no quantitative CTF scores.,GPT-4 System Card Mar 2023
GPT-4o,OpenAI,2024-08,https://arxiv.org/pdf/2410.21276,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model does not advance real-world vulnerability exploitation sufficient for Medium risk. 172 CTF tasks across 4 categories (web / rev / remote exploitation / crypto) — no per-category percentages reported. Pre/post-mitigation risk both Low.,GPT-4o System Card Aug 2024
o1-preview,OpenAI,2024-09,https://cdn.openai.com/o1-preview-system-card-20240917.pdf,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,16,pass@12,,,,,,,,,,,,,,,,,,,,Categories: web app exploitation / cryptography / reverse engineering / binary+network (pwn). Same risk level as o1-mini. pass@12 = success in at least 1 of 12 attempts.,o1-preview and o1-mini System Card Sep 2024
o1,OpenAI,2024-12,https://cdn.openai.com/o1-system-card-20241205.pdf,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,13,13,pass@12,,,,,,,,,,,,,,,,,,,,o1 slightly worse than o1-preview; gap attributed to better instruction-following in o1-preview. No reward hacking on cybersecurity tasks. Up to 60 tool-use rounds per attempt.,OpenAI o1 System Card Dec 2024
o3-mini,OpenAI,2025-01,https://cdn.openai.com/o3-mini-system-card-feb10.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preparedness evaluation conducted. Full CTF breakdown not extracted.,OpenAI o3-mini System Card Jan 2025
o3,OpenAI,2025-04,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,68,59,pass@12,,,,,,,,,,,,,,,,,,,,First OpenAI model at Medium cybersecurity risk. Did not solve real-world range scenarios without explicit solver code. Medium threshold: model can meaningfully automate some stage of a multi-step attack.,OpenAI o3 and o4-mini System Card Apr 2025
o4-mini,OpenAI,2025-04,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,55,41,pass@12,,,,,,,,,,,,,,,,,,,,Same card as o3. Also Medium cybersecurity. Did not solve real-world range scenarios without solver code.,OpenAI o3 and o4-mini System Card Apr 2025
GPT-5,OpenAI,2025-08,https://cdn.openai.com/gpt-5-system-card.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting shifted to professional CTFs only (high school / collegiate difficulty levels dropped). Competed in ASIS CTF 2025: ranked 25th; surpassed 94% of human teams.,GPT-5 System Card Aug 2025
GPT-5.2,OpenAI,2025-12,https://cdn.openai.com/pdf/3a4153c8-c748-4b71-8e31-aecbde944f8d/oai_5_2_system-card.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33,,,,,,,,,,,,,,,,,,,Cyber range pass rate cited in GPT-5.5 card comparison (Table 15). High cybersecurity capability.,GPT-5.2 System Card Dec 2025 + GPT-5.5 card Table 15 comparisons
GPT-5.3-codex,OpenAI,2026-02,https://deploymentsafety.openai.com/gpt-5-3-codex/gpt-5-3-codex.pdf,,High (precautionary),High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,First OpenAI launch treated as High cybersecurity capability (precautionary — could not rule out High threshold). Cyber safeguards activated. Agentic coding model — not general-purpose conversational. Cyber range 80% from GPT-5.5 card comparison.,GPT-5.3-Codex System Card Feb 2026 (deploymentsafety.openai.com) + GPT-5.5 card Table 15
GPT-5.4-thinking,OpenAI,2026-03,https://deploymentsafety.openai.com/gpt-5-4-thinking/gpt-5-4-thinking.pdf,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33,,,,,,,,,,,,,,71.4 pass@5 (±19.8%); 52.4 pass@1 on expert tasks,,,,gpt-5.3-codex; gpt-5.2,First general-purpose OpenAI model with implemented High cybersecurity mitigations. Cyber range 73.33% from GPT-5.5 card comparison. UK AISI: pass@5=71.4% ±19.8%; pass@1 expert tasks=52.4%.,GPT-5.4 Thinking System Card Mar 2026 (deploymentsafety.openai.com) + UK AISI + GPT-5.5 card
GPT-5.5,OpenAI,2026-04,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,,High (below Critical),High (below Critical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.33,,,,,,,,,,,,,,90.5 pass@5 (±12.9%) on expert tasks; 66.7 pass@1 (±15.9%) on expert tasks,,,,gpt-5.2; gpt-5.3-codex; gpt-5.4-thinking,Professional CTFs saturated for GPT-5.5 Pro (not run). New evals: CVE-Bench (34/40 challenges; zero-day; no source code); VulnLMP (vuln research against hardened real-world software); Cyber Range (15 scenarios — 93.33% pass). Irregular external eval: 98% network attack simulation; 92% vuln research; 54% evasion. CyScenarioBench: 7/11. UK AISI: highest pass@5 of any tested model. Critical threshold not met.,GPT-5.5 System Card Apr 2026 (deploymentsafety.openai.com)
Gemini 1.0 Ultra,Google DeepMind,2023-12,https://arxiv.org/abs/2312.11805,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Could solve basic CTF tasks via Bash shell; identified straightforward web vulns; failed multi-step challenges. Unlikely to provide meaningful uplift to threat actors.,Gemini 1.0 Tech Report Dec 2023 + DeepMind Dangerous Capabilities paper arXiv:2403.13793 Apr 2024
Gemini 1.5 Pro,Google DeepMind,2024-02,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dangerous capability evals conducted; CTF specifics not publicly reported in technical report. DeepMind in-house CTF framework described in companion dangerous capabilities paper (arXiv:2403.13793). Below CCL thresholds.,Gemini 1.5 Tech Report Feb 2024 + DeepMind Dangerous Capabilities paper Apr 2024
Gemini 2.0 Flash,Google DeepMind,2025-04,https://modelcards.withgoogle.com/assets/documents/gemini-2-flash.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model released Dec 2024; model card published Apr 2025. Moderate performance improvement over Gemini 1.5 on CTF challenges. Still unable to solve hard challenges. CCL not reached.,Google Gemini 2.0 Flash Model Card Apr 2025 (modelcards.withgoogle.com)
Gemini 2.5 Pro,Google DeepMind,2025-06,https://storage.googleapis.com/model-cards/documents/gemini-2.5-pro.pdf,,,,No,No,Yes — Cyber Uplift Level 1 alert triggered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,13,28,4,12,75,76,10,13,1,13,,,,,,,CCL not reached for Cyber Autonomy Level 1 or Cyber Uplift Level 1. Alert threshold triggered for Uplift Level 1 — Google implementing response plan and accelerating mitigations. Significant increase vs Gemini 2.0; still limited on hard challenges.,Gemini 2.5 Pro Model Card Jun 2025 (storage.googleapis.com)
Gemini 3 Pro,Google DeepMind,2025-11,https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alert threshold reached for cybersecurity CCL (v1 benchmark). Preliminary v2 benchmark: cannot solve any of 13 new end-to-end challenges. Google withheld full evaluation results.,Gemini 3 Pro Frontier Safety Framework Report Nov 2025
Llama 3 (405B),Meta,2024-07,https://arxiv.org/abs/2407.21783,,,,,,,CyberSecEval 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No statistically significant improvement in attack success rate vs search engines for manual operation scaling. >50% success on low-sophistication challenges. Failed complex exploitation and post-exploitation. Low susceptibility to insecure code generation.,,,,,,,CyberSecEval 3 paper arXiv:2408.01605 Jul 2024 + Llama 3 Herd paper
Llama 3.1 (405B),Meta,2024-07,https://arxiv.org/abs/2407.21783,,,,,,,CyberSecEval 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Similar to Llama 3 on CyberSecEval 3. Spear-phishing capability tests added. Autonomous offensive operations: basic reconnaissance possible; failed complex exploitation tasks.,,,,,,,CyberSecEval 3 paper arXiv:2408.01605 + Llama 3 Herd paper (Llama 3.1 covered in same paper)
DeepSeek-V3,DeepSeek,2025-01,https://arxiv.org/abs/2412.19437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No dedicated cyber evaluation section in technical report. NIST/CAISI evaluated DeepSeek-V3.1 Sep 2025 — results not fully public. Jailbreak susceptibility documented externally (KELA research).,DeepSeek-V3 technical report + NIST/CAISI report Sep 2025
DeepSeek-R1,DeepSeek,2025-01,https://arxiv.org/abs/2501.12948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No dedicated cyber evaluation section in technical report. KELA research: 11x more likely to produce dangerous outputs than Western frontier models; generated malicious scripts via Evil Jailbreak. NIST/CAISI evaluated R1-0528 variant Sep 2025.,DeepSeek-R1 technical report + KELA Cyber research + NIST/CAISI report Sep 2025
Claude Mythos 5,Anthropic,2026-06,https://www-cdn.anthropic.com/57a52ea7d8f0e54e8a542e908266086df425cdf5/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf,ASL-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,pass@1 (no safeguards),1507,,,,,,,,,,,,,,,,,,,,,,,Claude Mythos Preview; Claude Opus 4.8; Claude Fable 5,"Cybench not run (saturated). CyberGym pass@1 no-safeguards = 83.8% (any-crash 99.4%), comparable to Mythos Preview (83.1%), ahead of Opus 4.8 (78.1% per this card). ExploitBench write-primitive 32.4%/any-crash 80.0%.","Claude Fable 5 & Claude Mythos 5 System Card, June 9 2026 (p58-62)"
Claude Sonnet 5,Anthropic,2026-06,https://www-cdn.anthropic.com/283ef97c476cf442c91d9a37d5b214242a55bb92/Claude%20Sonnet%205%20System%20Card.pdf,ASL-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,pass@1 (no safeguards),1507,,,,,,,,,,,,,,,,,,,,,,,Claude Sonnet 4.6; Claude Opus 4.8; Claude Mythos 5,"Cybench not run (saturated). CyberGym pass@1 no-safeguards = 52.7% (any-crash 65.4%); lower than Sonnet 4.6 (65.2%) and Opus 4.8 (78.1%). OSS-Fuzz: reached 0.8 on two targets, no 1.0.","Claude Sonnet 5 System Card, June 30 2026 (p32-33)"
GPT-5.6,OpenAI,2026-07,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,,High (below Critical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPT-5.5 (Sol/Terra/Luna family),"Preparedness cyber = High (reaches High threshold), Critical ruled out (no functional critical severity exploits). Family: Sol/Terra/Luna. NO Cyber Range reported (discontinued). Primary evals: CTF, CVE-Bench, VulnLMP, ExploitBench, ExploitGym, SEC-BenchPro. CyberGym 83.6% (Sol) appears ONLY in the jailbreak-robustness section (safeguard context) — not populated here pending review.","OpenAI GPT-5.6 System Card, 2026-07-09 (p45-47, 75-77)"
Claude Fable 5,Anthropic,2026-06,https://www-cdn.anthropic.com/57a52ea7d8f0e54e8a542e908266086df425cdf5/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf,ASL-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claude Mythos 5; Claude Opus 4.8,Card explicitly does NOT report cyber evals for Fable 5: classifiers fire across all cyber evaluations and Fable 5 falls back to Opus 4.8; 'no uplift on cyber tasks relative to Opus 4.8'. No plottable data.,"Claude Fable 5 & Claude Mythos 5 System Card, June 9 2026 (p58)"
